Employee ID,Period Start,Period End,Pay Element,Units,Rate,Cost Center
,14.07.2025,20.07.2025,Standard Hours,56.0,45.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,57.0,37.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,57.0,33.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,62.0,18.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,20.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,20.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,16.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,40.0,20.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,20.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,20.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,40.0,21.0,METRON ENERGY APPLICATIONS S.A.
,14.07.2025,20.07.2025,Standard Hours,26.5,21.0,METRON ENERGY APPLICATIONS S.A.
,14.07.2025,20.07.2025,Standard Hours,39.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,56.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,59.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,40.0,15.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,48.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,39.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,20.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,23.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,39.5,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,60.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,59.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,39.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,59.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,50.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,45.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,40.0,15.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,24.0,30.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,42.0,15.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,49.0,15.0,METRON ENERGY APPLICATIONS S.A.
,14.07.2025,20.07.2025,Standard Hours,61.5,38.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,57.0,15.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,55.0,32.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,59.0,38.0,METRON ENERGY APPLICATIONS S.A
,14.07.2025,20.07.2025,Standard Hours,52.0,40.0,METRON ENERGY APPLICATIONS S.A.
,14.07.2025,20.07.2025,Standard Hours,30.0,30.0,METRON ENERGY APPLICATIONS S.A
